SHOT_ZONE_BASIC,SHOT_ZONE_AREA,FGA,FGM,FG_PCT,PLAYER
Above the Break 3,Back Court(BC),6,0,0.0,Allen Iverson
Above the Break 3,Center(C),451,131,0.2905,Allen Iverson
Above the Break 3,Left Side Center(LC),1594,494,0.3099,Allen Iverson
Above the Break 3,Right Side Center(RC),740,208,0.2811,Allen Iverson
Backcourt,Back Court(BC),11,1,0.0909,Allen Iverson
In The Paint (Non-RA),Center(C),2201,777,0.353,Allen Iverson
In The Paint (Non-RA),Left Side(L),285,115,0.4035,Allen Iverson
In The Paint (Non-RA),Right Side(R),189,72,0.381,Allen Iverson
Left Corner 3,Left Side(L),335,129,0.3851,Allen Iverson
Mid-Range,Center(C),866,339,0.3915,Allen Iverson
Mid-Range,Left Side Center(LC),1073,420,0.3914,Allen Iverson
Mid-Range,Left Side(L),3144,1232,0.3919,Allen Iverson
Mid-Range,Right Side Center(RC),854,347,0.4063,Allen Iverson
Mid-Range,Right Side(R),2049,773,0.3773,Allen Iverson
Restricted Area,Center(C),6006,3390,0.5644,Allen Iverson
Right Corner 3,Right Side(R),102,39,0.3824,Allen Iverson
Above the Break 3,Back Court(BC),3,0,0.0,Dirk Nowitzki
Above the Break 3,Center(C),1512,593,0.3922,Dirk Nowitzki
Above the Break 3,Left Side Center(LC),1178,424,0.3599,Dirk Nowitzki
Above the Break 3,Right Side Center(RC),1657,629,0.3796,Dirk Nowitzki
Backcourt,Back Court(BC),17,0,0.0,Dirk Nowitzki
In The Paint (Non-RA),Center(C),1996,858,0.4299,Dirk Nowitzki
In The Paint (Non-RA),Left Side(L),244,116,0.4754,Dirk Nowitzki
In The Paint (Non-RA),Right Side(R),335,161,0.4806,Dirk Nowitzki
Left Corner 3,Left Side(L),175,70,0.4,Dirk Nowitzki
Mid-Range,Center(C),1792,841,0.4693,Dirk Nowitzki
Mid-Range,Left Side Center(LC),1303,601,0.4612,Dirk Nowitzki
Mid-Range,Left Side(L),2821,1289,0.4569,Dirk Nowitzki
Mid-Range,Right Side Center(RC),1807,867,0.4798,Dirk Nowitzki
Mid-Range,Right Side(R),3657,1721,0.4706,Dirk Nowitzki
Restricted Area,Center(C),3280,2095,0.6387,Dirk Nowitzki
Right Corner 3,Right Side(R),393,153,0.3893,Dirk Nowitzki
Above the Break 3,Center(C),134,53,0.3955,James Harden
Above the Break 3,Left Side Center(LC),104,40,0.3846,James Harden
Above the Break 3,Right Side Center(RC),162,54,0.3333,James Harden
In The Paint (Non-RA),Center(C),169,64,0.3787,James Harden
In The Paint (Non-RA),Left Side(L),10,7,0.7,James Harden
