GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYER_NAME_LABEL,SEASON_START_YEAR,ERA,RESULT,CALC_DISTANCE_FT,PLAYER
Shot Chart Detail,22500012,58,2544,LeBron James,1610612747,Los Angeles Lakers,1,7,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26.0,176.0,200.0,1,0,20251225,LAL,HOU,LeBron James,2025,LAL,Missed,26.641321288554742,LeBron James
Shot Chart Detail,22500012,127,2544,LeBron James,1610612747,Los Angeles Lakers,1,1,42,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25.0,-153.0,200.0,1,1,20251225,LAL,HOU,LeBron James,2025,LAL,Made,25.181143738917022,LeBron James
Shot Chart Detail,22500012,193,2544,LeBron James,1610612747,Los Angeles Lakers,2,8,47,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23.0,-232.0,12.0,1,0,20251225,LAL,HOU,LeBron James,2025,LAL,Missed,23.231013753170565,LeBron James
Shot Chart Detail,22500012,198,2544,LeBron James,1610612747,Los Angeles Lakers,2,7,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-31.0,20.0,1,1,20251225,LAL,HOU,LeBron James,2025,LAL,Made,3.689173349139343,LeBron James
Shot Chart Detail,22500012,380,2544,LeBron James,1610612747,Los Angeles Lakers,3,6,43,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8.0,-42.0,72.0,1,0,20251225,LAL,HOU,LeBron James,2025,LAL,Missed,8.335466393669883,LeBron James
Shot Chart Detail,22500012,394,2544,LeBron James,1610612747,Los Angeles Lakers,3,5,30,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,5.0,39.0,1,1,20251225,LAL,HOU,LeBron James,2025,LAL,Made,3.9319206502675,LeBron James
Shot Chart Detail,22500012,396,2544,LeBron James,1610612747,Los Angeles Lakers,3,4,58,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,-23.0,17.0,1,0,20251225,LAL,HOU,LeBron James,2025,LAL,Missed,2.860069929215018,LeBron James
Shot Chart Detail,22500012,405,2544,LeBron James,1610612747,Los Angeles Lakers,3,4,44,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8.0,-53.0,63.0,1,1,20251225,LAL,HOU,LeBron James,2025,LAL,Made,8.232860985101109,LeBron James
Shot Chart Detail,22500012,478,2544,LeBron James,1610612747,Los Angeles Lakers,4,11,23,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,2.0,25.0,1,1,20251225,LAL,HOU,LeBron James,2025,LAL,Made,2.507987240796891,LeBron James
Shot Chart Detail,22500012,485,2544,LeBron James,1610612747,Los Angeles Lakers,4,10,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,27.0,20.0,1,0,20251225,LAL,HOU,LeBron James,2025,LAL,Missed,3.3600595232822883,LeBron James
