SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_NAME_LABEL,YEAR,MONTH,GAME_SCORE,PTS_ROLL10,AST_ROLL10,REB_ROLL10,GAME_SCORE_ROLL10
21997,947,29701184,,PHI @ TOR,W,37,13,21,0.619,0,1,0.0,0,1,0.0,3,5,8,6,4,1,1,3,26,33,0,1997-98,Allen Iverson,,,26.4,26.0,6.0,8.0,26.4
21997,947,29701164,,PHI vs. CHI,L,41,4,17,0.235,1,3,0.333,9,12,0.75,3,3,6,6,1,3,7,2,18,-18,0,1997-98,Allen Iverson,,,9.0,22.0,6.0,7.0,17.7
21997,947,29701142,,PHI @ ATL,L,42,11,23,0.478,1,2,0.5,3,3,1.0,1,1,2,2,2,0,5,3,26,-9,0,1997-98,Allen Iverson,,,12.5,23.3,4.7,5.3,16.0
21997,947,29701122,,PHI @ CLE,L,40,10,15,0.667,1,2,0.5,11,13,0.846,0,1,1,5,1,0,5,6,32,-8,0,1997-98,Allen Iverson,,,22.1,25.5,4.8,4.2,17.5
21997,947,29701117,,PHI @ MIN,L,44,15,26,0.577,1,4,0.25,12,14,0.857,2,2,4,2,1,0,2,3,43,-3,0,1997-98,Allen Iverson,,,31.2,29.0,4.2,4.2,20.2
21997,947,29701102,,PHI vs. CHH,W,42,9,18,0.5,1,1,1.0,11,12,0.917,4,6,10,6,3,0,1,4,30,12,0,1997-98,Allen Iverson,,,29.8,29.2,4.5,5.2,21.8
21997,947,29701087,,PHI @ ORL,L,32,9,17,0.529,1,3,0.333,4,5,0.8,0,3,3,4,1,0,2,3,23,-18,0,1997-98,Allen Iverson,,,15.8,28.3,4.4,4.9,21.0
21997,947,29701076,,PHI vs. TOR,W,44,14,25,0.56,1,3,0.333,7,7,1.0,2,7,9,8,4,0,0,2,36,13,0,1997-98,Allen Iverson,,,36.4,29.2,4.9,5.4,22.9
21997,947,29701060,,PHI vs. LAC,W,41,10,20,0.5,0,2,0.0,1,2,0.5,4,5,9,7,3,0,2,4,21,15,0,1997-98,Allen Iverson,,,19.2,28.3,5.1,5.8,22.5
21997,947,29701048,,PHI @ WAS,W,42,11,21,0.524,1,2,0.5,7,10,0.7,1,5,6,6,3,1,1,2,30,14,0,1997-98,Allen Iverson,,,26.8,28.5,5.2,5.8,22.9
21997,947,29701039,,PHI @ CHH,L,39,12,24,0.5,2,4,0.5,2,5,0.4,1,0,1,2,2,0,3,3,28,-11,0,1997-98,Allen Iverson,,,14.7,28.7,4.8,5.1,21.8
21997,947,29701024,,PHI vs. BOS,W,43,5,13,0.385,1,2,0.5,9,12,0.75,1,4,5,7,1,1,3,1,20,7,0,1997-98,Allen Iverson,,,16.8,28.9,4.9,5.0,22.5
21997,947,29701010,,PHI vs. SAS,L,36,10,17,0.588,0,1,0.0,4,6,0.667,1,1,2,6,1,0,1,2,24,-21,0,1997-98,Allen Iverson,,,19.7,28.7,5.3,5.0,23.2
21997,947,29700996,,PHI vs. NJN,L,38,8,20,0.4,0,3,0.0,1,1,1.0,2,0,2,1,2,0,3,6,17,-12,0,1997-98,Allen Iverson,,,4.9,27.2,4.9,5.1,21.5
21997,947,29700982,,PHI vs. DET,L,44,2,14,0.143,0,3,0.0,0,0,0.0,0,1,1,8,2,1,1,3,4,-14,0,1997-98,Allen Iverson,,,1.4,23.3,5.5,4.8,18.6
21997,947,29700972,,PHI @ BOS,L,40,6,13,0.462,1,4,0.25,8,13,0.615,0,2,2,3,1,0,5,0,21,-8,0,1997-98,Allen Iverson,,,11.0,22.4,5.2,4.0,16.7
21997,947,29700959,,PHI vs. UTA,L,40,11,21,0.524,1,3,0.333,5,7,0.714,1,2,3,3,1,0,6,4,28,-8,0,1997-98,Allen Iverson,,,13.7,22.9,5.1,4.0,16.5
21997,947,29700946,,PHI @ DET,W,46,12,22,0.545,0,4,0.0,14,16,0.875,1,0,1,6,4,0,4,0,38,10,0,1997-98,Allen Iverson,,,31.5,23.1,4.9,3.2,16.0
21997,947,29700934,,PHI @ NYK,L,44,9,27,0.333,1,7,0.143,10,16,0.625,5,4,9,6,6,0,1,2,29,-3,0,1997-98,Allen Iverson,,,24.4,23.9,4.8,3.2,16.5
21997,947,29700914,,PHI @ MIL,W,41,9,19,0.474,0,0,0.0,2,3,0.667,1,3,4,1,3,0,2,1,20,-2,0,1997-98,Allen Iverson,,,12.8,22.9,4.3,3.0,15.1
21997,947,29700906,,PHI vs. ATL,W,39,15,26,0.577,1,2,0.5,3,3,1.0,1,5,6,10,0,0,1,0,34,32,0,1997-98,Allen Iverson,,,30.0,23.5,5.1,3.5,16.6
