GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,PLAYER_NAME_LABEL,SEASON
Shot Distance (5ft),Less Than 5 ft.,110,194,0.567,0,0,0.0,0.567,16,0.427,0.573,0.0,0.0,0.427,0.573,3,3,1,3,4,3,1,8,4,2,3,2,5,2,Michael Jordan,2001-02
Shot Distance (5ft),5-9 ft.,33,115,0.287,0,0,0.0,0.287,13,0.364,0.636,0.0,0.0,0.364,0.636,5,4,5,3,4,3,5,6,5,1,3,2,6,1,Michael Jordan,2001-02
Shot Distance (5ft),10-14 ft.,134,319,0.42,0,0,0.0,0.42,15,0.433,0.567,0.0,0.0,0.433,0.567,2,2,2,3,4,3,2,7,3,3,3,2,4,3,Michael Jordan,2001-02
Shot Distance (5ft),15-19 ft.,234,571,0.41,0,0,0.0,0.41,7,0.462,0.538,0.0,0.0,0.462,0.538,1,1,3,3,4,3,4,5,2,4,3,2,2,5,Michael Jordan,2001-02
Shot Distance (5ft),20-24 ft.,35,91,0.385,5,19,0.263,0.412,0,0.467,0.533,0.4,0.6,0.457,0.543,4,5,4,1,2,1,3,1,1,5,2,1,3,4,Michael Jordan,2001-02
Shot Distance (5ft),25-29 ft.,5,33,0.152,5,33,0.152,0.227,1,0.0,0.0,1.0,0.0,1.0,0.0,6,6,6,1,1,2,6,4,6,6,1,2,1,6,Michael Jordan,2001-02
Shot Distance (5ft),35-39 ft.,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,3,3,3,7,1,6,6,3,2,7,6,Michael Jordan,2001-02
Shot Distance (5ft),40+ ft.,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,8,7,3,4,3,7,1,6,6,3,2,7,6,Michael Jordan,2001-02
Shot Distance (5ft),Less Than 5 ft.,78,133,0.586,0,0,0.0,0.586,15,0.359,0.641,0.0,0.0,0.359,0.641,2,5,1,3,6,3,1,9,2,4,3,3,3,4,Kobe Bryant,2015-16
Shot Distance (5ft),5-9 ft.,34,85,0.4,0,0,0.0,0.4,4,0.324,0.676,0.0,0.0,0.324,0.676,6,6,3,3,6,3,4,5,3,3,3,3,4,3,Kobe Bryant,2015-16
Shot Distance (5ft),10-14 ft.,63,149,0.423,0,0,0.0,0.423,7,0.19,0.81,0.0,0.0,0.19,0.81,5,4,2,3,6,3,3,8,5,1,3,3,6,1,Kobe Bryant,2015-16
Shot Distance (5ft),15-19 ft.,69,211,0.327,0,0,0.0,0.327,4,0.319,0.681,0.0,0.0,0.319,0.681,3,3,4,3,6,3,6,5,4,2,3,3,5,2,Kobe Bryant,2015-16
Shot Distance (5ft),20-24 ft.,90,289,0.311,69,221,0.312,0.431,5,0.667,0.333,0.681,0.319,0.678,0.322,1,1,5,1,2,1,2,7,1,5,2,1,2,5,Kobe Bryant,2015-16
Shot Distance (5ft),25-29 ft.,64,240,0.267,64,240,0.267,0.4,1,0.0,0.0,0.703,0.297,0.703,0.297,4,2,6,2,1,2,4,4,6,6,1,2,1,6,Kobe Bryant,2015-16
Shot Distance (5ft),30-34 ft.,0,3,0.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,3,3,3,7,1,6,6,3,3,7,7,Kobe Bryant,2015-16
Shot Distance (5ft),35-39 ft.,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,9,7,3,5,3,7,1,6,6,3,3,7,7,Kobe Bryant,2015-16
Shot Distance (5ft),40+ ft.,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,8,7,3,4,3,7,1,6,6,3,3,7,7,Kobe Bryant,2015-16
Shot Distance (5ft),Less Than 5 ft.,32,68,0.471,0,0,0.0,0.471,8,0.219,0.781,0.0,0.0,0.219,0.781,2,2,2,3,4,3,2,8,4,2,3,2,5,2,Allen Iverson,2009-10
Shot Distance (5ft),5-9 ft.,8,32,0.25,0,0,0.0,0.25,4,0.375,0.625,0.0,0.0,0.375,0.625,5,4,6,3,4,3,6,7,3,3,3,2,4,3,Allen Iverson,2009-10
Shot Distance (5ft),10-14 ft.,21,46,0.457,0,0,0.0,0.457,8,0.19,0.81,0.0,0.0,0.19,0.81,3,3,3,3,4,3,3,8,5,1,3,2,6,1,Allen Iverson,2009-10
Shot Distance (5ft),15-19 ft.,57,127,0.449,0,0,0.0,0.449,2,0.544,0.456,0.0,0.0,0.544,0.456,1,1,4,3,4,3,4,6,2,4,3,2,3,4,Allen Iverson,2009-10
Shot Distance (5ft),20-24 ft.,14,27,0.519,5,9,0.556,0.611,0,1.0,0.0,0.8,0.2,0.929,0.071,4,5,1,1,2,1,1,1,1,5,2,1,2,5,Allen Iverson,2009-10
Shot Distance (5ft),25-29 ft.,4,15,0.267,4,15,0.267,0.4,0,0.0,0.0,1.0,0.0,1.0,0.0,6,6,5,2,1,2,5,1,6,5,1,2,1,6,Allen Iverson,2009-10
Shot Distance (5ft),30-34 ft.,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,8,7,3,4,3,7,1,6,5,3,2,7,6,Allen Iverson,2009-10
Shot Distance (5ft),35-39 ft.,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,8,7,3,4,3,7,1,6,5,3,2,7,6,Allen Iverson,2009-10
Shot Distance (5ft),40+ ft.,0,1,0.0,0,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,3,3,3,7,5,6,5,3,2,7,6,Allen Iverson,2009-10
Shot Distance (5ft),Less Than 5 ft.,4,6,0.667,0,0,0.0,0.667,0,0.75,0.25,0.0,0.0,0.75,0.25,6,6,1,3,5,3,1,1,3,3,3,1,4,3,Dirk Nowitzki,2018-19
Shot Distance (5ft),5-9 ft.,6,22,0.273,0,0,0.0,0.273,2,0.5,0.5,0.0,0.0,0.5,0.5,5,5,6,3,5,3,6,9,5,1,3,1,6,1,Dirk Nowitzki,2018-19
Shot Distance (5ft),10-14 ft.,24,46,0.522,0,0,0.0,0.522,0,0.708,0.292,0.0,0.0,0.708,0.292,4,4,2,3,5,3,2,1,4,2,3,1,5,2,Dirk Nowitzki,2018-19
Shot Distance (5ft),15-19 ft.,26,70,0.371,0,0,0.0,0.371,0,0.923,0.077,0.0,0.0,0.923,0.077,3,3,3,3,5,3,5,1,2,4,3,1,3,4,Dirk Nowitzki,2018-19
Shot Distance (5ft),20-24 ft.,27,83,0.325,16,56,0.286,0.422,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,5,2,2,2,4,1,1,5,1,1,1,5,Dirk Nowitzki,2018-19
Shot Distance (5ft),25-29 ft.,48,146,0.329,48,146,0.329,0.493,0,0.0,0.0,1.0,0.0,1.0,0.0,1,1,4,1,1,1,3,1,6,5,1,1,1,5,Dirk Nowitzki,2018-19
Shot Distance (5ft),30-34 ft.,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,3,3,3,7,1,6,5,3,1,7,5,Dirk Nowitzki,2018-19
Shot Distance (5ft),35-39 ft.,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,9,7,3,5,3,7,1,6,5,3,1,7,5,Dirk Nowitzki,2018-19
Shot Distance (5ft),40+ ft.,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,8,7,3,4,3,7,1,6,5,3,1,7,5,Dirk Nowitzki,2018-19
Shot Distance (5ft),Less Than 5 ft.,313,445,0.703,0,0,0.0,0.703,35,0.457,0.543,0.0,0.0,0.457,0.543,1,1,1,4,5,4,1,9,1,5,4,4,4,4,LeBron James,2024-25
Shot Distance (5ft),5-9 ft.,66,155,0.426,0,0,0.0,0.426,14,0.364,0.636,0.0,0.0,0.364,0.636,3,3,4,4,5,4,7,8,2,4,4,4,5,3,LeBron James,2024-25
