GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYER_NAME_LABEL,SEASON_START_YEAR,ERA,RESULT,CALC_DISTANCE_FT,PLAYER
Shot Chart Detail,22500002,44,201939,Stephen Curry,1610612744,Golden State Warriors,1,8,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26.0,48.0,262.0,1,1,20251021,LAL,GSW,Stephen Curry,2025,LAL,Made,26.636065775560773,Stephen Curry
Shot Chart Detail,22500002,48,201939,Stephen Curry,1610612744,Golden State Warriors,1,7,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25.0,114.0,230.0,1,0,20251021,LAL,GSW,Stephen Curry,2025,LAL,Missed,25.670216204777084,Stephen Curry
Shot Chart Detail,22500002,113,201939,Stephen Curry,1610612744,Golden State Warriors,1,3,57,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27.0,-136.0,234.0,1,0,20251021,LAL,GSW,Stephen Curry,2025,LAL,Missed,27.065106687393644,Stephen Curry
Shot Chart Detail,22500002,274,201939,Stephen Curry,1610612744,Golden State Warriors,2,6,24,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,-29.0,16.0,1,0,20251021,LAL,GSW,Stephen Curry,2025,LAL,Missed,3.3120990323358392,Stephen Curry
Shot Chart Detail,22500002,301,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,59,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27.0,141.0,240.0,1,1,20251021,LAL,GSW,Stephen Curry,2025,LAL,Made,27.83540910423269,Stephen Curry
Shot Chart Detail,22500002,314,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,3,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3.0,16.0,35.0,1,1,20251021,LAL,GSW,Stephen Curry,2025,LAL,Made,3.8483762809787714,Stephen Curry
Shot Chart Detail,22500002,321,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,59,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4.0,25.0,34.0,1,1,20251021,LAL,GSW,Stephen Curry,2025,LAL,Made,4.220189569201838,Stephen Curry
Shot Chart Detail,22500002,342,201939,Stephen Curry,1610612744,Golden State Warriors,2,2,13,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28.0,181.0,219.0,1,0,20251021,LAL,GSW,Stephen Curry,2025,LAL,Missed,28.41161734220704,Stephen Curry
Shot Chart Detail,22500002,367,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2.0,2.0,29.0,1,0,20251021,LAL,GSW,Stephen Curry,2025,LAL,Missed,2.906888370749727,Stephen Curry
Shot Chart Detail,22500002,374,201939,Stephen Curry,1610612744,Golden State Warriors,2,0,2,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27.0,-112.0,253.0,1,0,20251021,LAL,GSW,Stephen Curry,2025,LAL,Missed,27.668212808202846,Stephen Curry
