ERA,FGA,FGM,AVG_DISTANCE,FG_PCT
ATL,1234,572,13.953910565033933,0.4635
BKN,215,99,16.257763070008536,0.4605
BOS,1250,548,14.21085938106747,0.4384
CHA,603,286,15.207004916048131,0.4743
CHH,534,241,11.17690178531332,0.4513
CHI,2906,1364,13.35854155224781,0.4694
CLE,1308,563,13.759824471936732,0.4304
DAL,12177,5768,14.84423472763406,0.4737
DEN,3216,1516,12.812553803582537,0.4714
DET,1530,652,13.579231122750327,0.4261
GSW,1899,868,15.122634063617586,0.4571
HOU,1955,880,14.533369040730634,0.4501
IND,1174,484,14.5794948555199,0.4123
LAC,1981,875,14.813645789925229,0.4417
LAL,14567,6652,13.632871851708197,0.4566
MEM,1272,564,14.00569293105925,0.4434
MIA,1229,543,14.270374399305858,0.4418
MIL,1179,537,12.872459240743327,0.4555
MIN,1513,688,14.52227570131749,0.4547
NJN,1066,437,13.693463837449503,0.4099
NOH,657,305,13.842153153824356,0.4642
NOK,208,90,13.450821820991909,0.4327
NOP,321,147,17.370416359783558,0.4579
NYK,1408,610,14.103903789283816,0.4332
OKC,502,222,15.074921759034622,0.4422
ORL,1204,509,13.682091133734856,0.4228
PHI,9414,4023,12.235599548804453,0.4273
PHX,1495,650,14.770756540068541,0.4348
POR,1684,789,14.953964358678636,0.4685
SAC,1666,754,14.854517983571368,0.4526
SAS,1624,708,14.192807019803311,0.436
SEA,1040,481,14.063349765779705,0.4625
TOR,1218,555,13.881197982414784,0.4557
UTA,1552,683,15.41050909075894,0.4401
VAN,326,153,12.521611570826822,0.4693
WAS,2636,1195,13.987770749308426,0.4533
