PLAYER_NAME_LABEL,ERA,FGA,FGM,AVG_DISTANCE,FG_PCT
Allen Iverson,ATL,368,164,11.716741319543967,0.4457
Allen Iverson,BOS,394,171,13.575806682725618,0.434
Allen Iverson,CHA,81,32,11.70786469632218,0.3951
Allen Iverson,CHH,287,126,11.269222341662148,0.439
Allen Iverson,CHI,395,181,13.123242024959712,0.4582
Allen Iverson,CLE,473,212,12.528638454124152,0.4482
Allen Iverson,DAL,243,110,12.79354443791825,0.4527
Allen Iverson,DEN,1530,703,11.360217684306901,0.4595
Allen Iverson,DET,737,307,12.03458544604804,0.4166
Allen Iverson,GSW,262,124,12.94776018597533,0.4733
Allen Iverson,HOU,233,102,13.236150076829336,0.4378
Allen Iverson,IND,395,161,13.187268640266968,0.4076
Allen Iverson,LAC,264,112,11.341654168339735,0.4242
Allen Iverson,LAL,310,115,11.458463878747422,0.371
Allen Iverson,MEM,177,72,13.551244359718924,0.4068
Allen Iverson,MIA,418,171,13.072439352910129,0.4091
Allen Iverson,MIL,446,200,11.064819686727596,0.4484
Allen Iverson,MIN,218,93,11.80011020293612,0.4266
Allen Iverson,NJN,478,196,13.031139015448318,0.41
Allen Iverson,NOH,99,42,12.602978515925066,0.4242
Allen Iverson,NOK,69,26,10.229315514826519,0.3768
Allen Iverson,NYK,475,173,12.681362026583693,0.3642
Allen Iverson,OKC,14,6,7.125131132110544,0.4286
Allen Iverson,ORL,430,169,12.643842884191423,0.393
Allen Iverson,PHI,8593,3654,11.956410833241392,0.4252
Allen Iverson,PHX,241,84,13.86804727041517,0.3485
Allen Iverson,POR,323,140,12.764073399806996,0.4334
Allen Iverson,SAC,296,120,13.923778567207346,0.4054
Allen Iverson,SAS,233,92,12.074342654196553,0.3948
Allen Iverson,SEA,274,115,12.94892104272125,0.4197
Allen Iverson,TOR,412,190,12.878533721559942,0.4612
Allen Iverson,UTA,245,96,12.601855263671414,0.3918
Allen Iverson,VAN,101,42,13.283979689157535,0.4158
Allen Iverson,WAS,392,166,11.904211775652017,0.4235
Dirk Nowitzki,ATL,301,147,16.243750648319686,0.4884
Dirk Nowitzki,BKN,98,41,18.21605660305202,0.4184
Dirk Nowitzki,BOS,292,139,15.404886112252093,0.476
Dirk Nowitzki,CHA,179,81,15.462230382476026,0.4525
Dirk Nowitzki,CHH,50,21,11.519079449797637,0.42
Dirk Nowitzki,CHI,275,111,16.410085159228462,0.4036
Dirk Nowitzki,CLE,265,112,15.190511476548595,0.4226
Dirk Nowitzki,DAL,11116,5289,14.950104282863673,0.4758
Dirk Nowitzki,DEN,512,238,15.328194532553283,0.4648
Dirk Nowitzki,DET,291,136,16.088866940102342,0.4674
Dirk Nowitzki,GSW,452,212,15.094318342951707,0.469
Dirk Nowitzki,HOU,494,234,14.034536277815441,0.4737
Dirk Nowitzki,IND,260,114,16.659486864381485,0.4385
Dirk Nowitzki,LAC,486,222,16.344018731018586,0.4568
Dirk Nowitzki,LAL,511,236,15.113233809278215,0.4618
Dirk Nowitzki,MEM,478,208,14.889836736049732,0.4351
Dirk Nowitzki,MIA,324,155,16.740652732226096,0.4784
Dirk Nowitzki,MIL,256,118,15.427055124732021,0.4609
Dirk Nowitzki,MIN,530,262,16.200811368582308,0.4943
Dirk Nowitzki,NJN,198,83,15.31058443982784,0.4192
Dirk Nowitzki,NOH,267,130,14.209528880197697,0.4869
Dirk Nowitzki,NOK,29,16,13.841610485640214,0.5517
Dirk Nowitzki,NOP,139,66,18.469521492559497,0.4748
Dirk Nowitzki,NYK,282,141,16.35771894645821,0.5
Dirk Nowitzki,OKC,236,110,15.336710566980443,0.4661
Dirk Nowitzki,ORL,263,120,15.392072173730181,0.4563
Dirk Nowitzki,PHI,249,120,16.246900378901362,0.4819
Dirk Nowitzki,PHX,467,214,14.97010082771448,0.4582
Dirk Nowitzki,POR,484,230,16.657454620572665,0.4752
Dirk Nowitzki,SAC,485,219,16.06525358158707,0.4515
Dirk Nowitzki,SAS,573,254,14.998708852521577,0.4433
Dirk Nowitzki,SEA,272,126,14.766324653868864,0.4632
Dirk Nowitzki,TOR,243,121,15.67379117171956,0.4979
Dirk Nowitzki,UTA,502,246,16.64445265264935,0.49
Dirk Nowitzki,VAN,60,30,15.303122741499378,0.5
Dirk Nowitzki,WAS,251,116,16.671575361646063,0.4622
James Harden,ATL,24,11,18.363030266937137,0.4583
James Harden,BKN,13,10,11.4808071799091,0.7692
James Harden,BOS,22,9,15.996865423467119,0.4091
James Harden,CHA,40,23,16.596332855890743,0.575
James Harden,CHI,25,9,13.651636350378107,0.36
James Harden,CLE,28,12,17.651788406590526,0.4286
James Harden,DAL,25,13,15.583532110276709,0.52
James Harden,DEN,33,15,16.766019392805806,0.4545
James Harden,DET,20,4,14.51853348787848,0.2
James Harden,GSW,15,6,13.975650812731377,0.4
James Harden,HOU,18,7,17.247449202026658,0.3889
James Harden,LAC,347,137,17.37940574559505,0.3948
James Harden,LAL,21,9,17.290513723521194,0.4286
James Harden,MEM,13,6,19.073443832601605,0.4615
James Harden,MIA,6,2,20.50855203514701,0.3333
James Harden,MIN,18,10,12.35532848053795,0.5556
James Harden,NYK,17,6,13.075691807703459,0.3529
James Harden,OKC,14,8,15.754467169681874,0.5714
James Harden,ORL,16,8,20.90993558536278,0.5
