GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,PLAYER_NAME_LABEL,TS_PCT,EFG_PCT,THREE_RATE,AST_TOV
By Year,2002-03,1610612764,WAS,2003-04-16T00:00:00,82,37,45,0.451,3029.0383333333334,679,1527,0.445,16,55,0.291,266,324,0.821,71,426,497,311,173,123,39,51.0,171,0,1640,6,3015.9,13,0,2788.0,1,3,4,4,3,3,3,3,3,3,2,3,4,2,3,1,1,2,2,3,3,2,4,4,3,4,3,1,2,3,1.0,Michael Jordan,0.4911,0.4499,0.036,1.8
By Year,2001-02,1610612764,WAS,2002-04-02T00:00:00,60,30,30,0.5,2089.0016666666666,551,1324,0.416,10,53,0.189,263,333,0.79,50,289,339,310,162,85,26,52.0,119,1,1375,17,2417.8,8,0,2256.0,4,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,3,1,3,4,3,4,3,2,4,1.0,Michael Jordan,0.4675,0.4199,0.04,1.91
By Year,1997-98,1610612741,CHI,1998-04-18T00:00:00,82,62,20,0.756,3182.38,881,1893,0.465,30,126,0.238,565,721,0.784,130,345,475,283,185,141,45,73.0,151,2,2357,598,3724.5,5,0,3517.0,1,2,2,2,1,2,1,2,2,2,3,1,1,4,1,3,3,4,1,1,1,4,2,1,2,2,2,4,2,2,1.0,Michael Jordan,0.5332,0.4733,0.0666,1.53
By Year,1996-97,1610612741,CHI,1997-04-19T00:00:00,82,69,13,0.841,3108.8033333333333,920,1892,0.486,111,297,0.374,480,576,0.833,113,369,482,352,166,140,44,49.0,156,2,2431,820,3923.4,9,1,3744.0,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,3,2,2,1,3,1,1,1,1,2,1,1,1.0,Michael Jordan,0.5666,0.5156,0.157,2.12
By Year,2015-16,1610612747,LAL,2016-04-13T00:00:00,66,13,53,0.197,1863.3233333333333,398,1113,0.358,133,467,0.285,232,281,0.826,41,206,247,184,129,62,13,36.0,115,174,1161,-569,1829.4,2,0,1875.0,13,18,20,20,17,15,15,20,4,2,17,17,17,14,18,16,16,18,17,17,17,4,5,10,16,20,16,17,10,16,1.0,Kobe Bryant,0.4694,0.4173,0.4196,1.43
By Year,2014-15,1610612747,LAL,2015-01-21T00:00:00,35,10,25,0.286,1206.868333333333,266,713,0.373,54,184,0.293,196,241,0.813,26,173,199,197,128,47,7,27.0,65,178,782,-294,1350.3,4,2,1340.0,19,19,12,19,18,18,18,19,15,15,16,18,18,18,19,17,18,16,18,19,19,3,2,9,18,19,18,14,3,18,1.0,Kobe Bryant,0.4774,0.4109,0.2581,1.54
By Year,2013-14,1610612747,LAL,2013-12-17T00:00:00,6,2,4,0.333,177.28333333333333,31,73,0.425,3,16,0.188,18,21,0.857,2,24,26,38,34,7,1,5.0,9,16,83,-32,161.2,0,0,166.0,20,20,1,18,20,20,20,17,20,20,20,20,20,2,20,20,20,20,20,20,20,1,1,11,20,17,20,18,10,20,1.0,Kobe Bryant,0.5046,0.4452,0.2192,1.12
By Year,2012-13,1610612747,LAL,2013-04-12T00:00:00,78,42,36,0.538,3012.613333333333,738,1595,0.463,132,407,0.324,525,626,0.839,66,367,433,469,287,106,25,71.0,173,467,2133,139,3462.1,16,2,3429.0,8,13,17,15,6,8,8,7,5,4,11,6,6,11,14,3,5,2,2,10,13,15,8,5,6,12,6,4,3,6,1.0,Kobe Bryant,0.5702,0.5041,0.2552,1.63
By Year,2011-12,1610612747,LAL,2012-04-22T00:00:00,58,36,22,0.621,2232.175,574,1336,0.43,87,287,0.303,381,451,0.845,66,247,313,264,204,69,18,45.0,105,337,1616,138,2444.6,3,0,2454.0,17,15,7,11,14,11,11,15,11,11,15,13,14,7,14,14,14,14,12,16,16,6,4,8,12,13,14,16,10,14,1.0,Kobe Bryant,0.5266,0.4622,0.2148,1.29
By Year,2010-11,1610612747,LAL,2011-04-13T00:00:00,82,57,25,0.695,2778.6633333333334,740,1639,0.451,115,356,0.323,483,583,0.828,83,336,419,388,243,99,12,70.0,172,450,2078,423,3252.8,9,1,3222.0,1,3,12,7,10,7,6,10,9,7,12,8,8,13,9,7,8,8,7,12,18,14,7,6,7,6,8,10,7,8,1.0,Kobe Bryant,0.5481,0.4866,0.2172,1.6
By Year,2009-10,1610612747,LAL,2010-04-11T00:00:00,73,51,22,0.699,2835.383333333333,716,1569,0.456,99,301,0.329,439,541,0.811,78,313,391,365,233,113,20,68.0,187,425,1970,466,3152.7,7,0,3091.0,10,7,7,6,8,9,9,9,10,10,9,12,11,19,11,9,12,9,8,7,15,12,12,7,9,4,10,13,10,9,1.0,Kobe Bryant,0.5451,0.4879,0.1918,1.57
By Year,2008-09,1610612747,LAL,2009-04-14T00:00:00,82,65,17,0.793,2960.0333333333333,800,1712,0.467,118,336,0.351,483,564,0.856,90,339,429,399,210,120,37,64.0,189,468,2201,659,3575.3,8,2,3461.0,1,1,3,2,7,4,4,3,8,8,4,8,9,3,8,6,6,6,11,4,8,9,13,4,5,1,5,12,3,5,1.0,Kobe Bryant,0.5614,0.5018,0.1963,1.9
By Year,2007-08,1610612747,LAL,2008-04-15T00:00:00,82,57,25,0.695,3192.276666666666,775,1690,0.459,150,415,0.361,623,742,0.84,94,423,517,441,257,151,40,66.0,227,542,2323,595,3920.9,20,0,3813.0,1,3,12,7,3,5,5,8,2,3,3,3,3,9,7,2,2,3,4,2,6,10,18,3,4,2,3,2,10,3,1.0,Kobe Bryant,0.576,0.503,0.2456,1.72
By Year,2006-07,1610612747,LAL,2007-04-18T00:00:00,77,39,38,0.506,3139.675,813,1757,0.463,137,398,0.344,667,768,0.868,75,364,439,413,255,111,36,78.0,205,614,2430,102,3762.3,10,0,3713.0,9,14,18,16,4,3,3,6,3,5,6,2,2,1,12,4,4,5,5,9,9,17,14,2,3,14,4,7,10,4,1.0,Kobe Bryant,0.58,0.5017,0.2265,1.62
By Year,2005-06,1610612747,LAL,2006-04-19T00:00:00,80,45,35,0.563,3277.1,978,2173,0.45,180,518,0.347,696,819,0.85,71,354,425,360,250,147,30,82.0,233,650,2832,318,4163.0,4,0,4151.0,5,11,16,14,2,1,1,12,1,1,5,1,1,6,13,5,7,10,6,3,11,19,20,1,1,8,2,14,10,1,1.0,Kobe Bryant,0.5589,0.4915,0.2384,1.44
By Year,2004-05,1610612747,LAL,2005-04-20T00:00:00,66,28,38,0.424,2689.536666666667,573,1324,0.433,131,387,0.339,542,664,0.816,95,297,392,398,270,86,53,66.0,174,0,1819,-116,3033.4,18,5,3018.0,13,17,18,17,11,12,12,14,6,6,8,5,5,17,6,11,11,7,3,13,3,10,9,15,11,18,11,3,1,11,1.0,Kobe Bryant,0.5628,0.4823,0.2923,1.47
By Year,2003-04,1610612747,LAL,2004-04-14T00:00:00,65,48,17,0.738,2447.4416666666666,516,1178,0.438,71,217,0.327,454,533,0.852,103,256,359,330,171,112,28,69.0,176,0,1557,309,2731.8,10,1,2597.0,16,9,3,3,13,14,14,13,13,13,10,11,12,5,5,13,13,12,14,8,12,13,10,15,13,9,13,7,7,13,1.0,Kobe Bryant,0.5511,0.4682,0.1842,1.93
By Year,2002-03,1610612747,LAL,2003-04-16T00:00:00,82,50,32,0.61,3403.8566666666666,868,1924,0.451,124,324,0.383,601,713,0.843,106,458,564,481,288,181,67,79.0,218,0,2461,260,4315.3,23,5,4126.0,1,8,15,13,1,2,2,11,7,9,1,4,4,8,3,1,1,1,1,1,1,18,15,15,2,11,1,1,1,2,1.0,Kobe Bryant,0.5499,0.4834,0.1684,1.67
By Year,2001-02,1610612747,LAL,2002-04-17T00:00:00,80,56,24,0.7,3065.1316666666667,749,1597,0.469,33,132,0.25,488,589,0.829,112,329,441,438,223,118,35,88.0,228,2,2019,444,3441.2,11,1,3237.0,5,5,11,5,5,6,7,1,18,18,19,7,7,12,1,8,3,4,9,5,10,20,19,13,8,5,7,6,7,7,1.0,Kobe Bryant,0.5439,0.4793,0.0827,1.96
By Year,2000-01,1610612747,LAL,2001-04-17T00:00:00,68,45,23,0.662,2791.005,701,1510,0.464,61,200,0.305,475,557,0.853,104,295,399,338,220,114,43,75.0,222,1,1938,369,3174.8,10,2,3050.0,12,11,9,10,9,10,10,5,14,14,14,10,10,4,4,12,10,11,10,6,5,16,17,14,10,7,9,7,3,10,1.0,Kobe Bryant,0.5521,0.4844,0.1325,1.54
By Year,1999-00,1610612747,LAL,2000-04-19T00:00:00,66,55,11,0.833,2522.995,554,1183,0.468,46,144,0.319,331,403,0.821,108,308,416,323,182,106,62,53.0,220,13,1485,531,2790.7,12,0,2606.0,13,6,2,1,12,13,13,2,17,16,13,15,15,15,2,10,9,13,13,10,2,7,16,12,14,3,12,5,10,12,1.0,Kobe Bryant,0.5458,0.4877,0.1217,1.77
By Year,1998-99,1610612747,LAL,1999-05-05T00:00:00,50,31,19,0.62,1894.256666666667,362,779,0.465,27,101,0.267,245,292,0.839,53,211,264,190,157,72,50,38.0,153,0,996,92,1806.8,9,0,1721.0,18,16,5,12,16,17,17,4,19,19,18,16,16,10,16,15,15,17,15,15,4,5,6,15,17,15,17,10,10,17,1.0,Kobe Bryant,0.5488,0.482,0.1297,1.21
